sku,name,color,size,description,image_link,category_id,price,mfr_cost,shipping_cost,total_cost
YIV08365,Air Jordan 1 Low SE Mens Shoes,Firebrick,7,Lifestyle White Web BOOST Shoes:  These sleek kicks feature a futuristic web design woven across the pristine white upper. BOOST technology in the sole provides all-day comfort for conquering your daily hustle.,Air Jordan 1 Low SE Mens Shoes.png ,3,887,1969,1974,1582
UWU96718,Nike Air Force 1 07 Mens Shoes,DimGray,4.5,Men Lifestyle Pink Adilette Slides:  Forget boring slides!  These vibrant pink numbers will have your feet feeling (and looking) beach-ready even in the heart of the city.,Nike Air Force 1 07 Mens Shoes.png ,1,983,1408,1423,1899
PDG40536,Nike Air Max Dn Mens Shoes(1),DarkOrange,9,Men originals Blue Superstar Shoes:  A classic gets a cool upgrade.  These iconic blue Superstars add a pop of color to any outfit  maintaining their timeless appeal.,Nike Air Max Dn Mens Shoes(1).png ,1,1250,984,991,1520
BIY99840,Nike Air Max Dn Mens Shoes,MediumSeaGreen,3,Men originals Green TMNT Shell-Toe Shoes:  Cowabunga dudes!  Channel your inner teenage mutant ninja turtle with these limited edition green shell-toe shoes.  Totally tubular!,Nike Air Max Dn Mens Shoes.png ,2,895,1365,900,1175
HZN44796,Nike Air Max Dn Shoes(1),RoyalBlue,10,Men originals White Forum Low CL Shoes:  Clean and crisp  these white Forum Lows offer a timeless design with premium materials for a touch of luxury.,Nike Air Max Dn Shoes(1).png ,2,979,1453,1092,1856
WPP66879,Nike Air Max Dn Shoes(2),Fuchsia,5.5,Men originals White NMD_R1 Shoes:  The ultimate in street style.  These white NMD_R1s feature a futuristic silhouette and comfortable boost technology for effortless cool.,Nike Air Max Dn Shoes(2).png ,2,1807,938,1886,1316
YOD23501,Nike Air Max Dn Shoes,Chocolate,8.5,Men originals White Samba OG Shoes:  A true OG.  These pristine white Samba OGs are a must-have for any sneaker collection  offering classic style and versatility.,Nike Air Max Dn Shoes.png ,4,1959,1612,1034,1599
BIO76001,Nike Air Max Plus Drift Mens Shoes,Teal,11,Men originals White Superstar Shoes:  Another classic!  This fresh pair of white Superstars is perfect for everyday wear  offering comfort and iconic design.,Nike Air Max Plus Drift Mens Shoes.png ,1,1919,1125,1523,843
BYV92825,Air Jordan 1 Low Mens Shoes,Goldenrod,6,Men Running Black ADI-SHAWT SPORT INSPIRED SHOES:  Channel your inner champion in these black ADI-SHAWT shoes.  Inspired by classic running styles  they offer comfort and support to power through your next workout. ,Air Jordan 1 Low Mens Shoes.png ,4,1423,995,1920,943
IHR81933,Nike Air Max Excee Mens shoes,DodgerBlue,2.5,Men Running Black CLEAR FACTOR SHOES:  These sleek black running shoes feature a breathable mesh upper that keeps your feet cool and comfortable on every mile.,Nike Air Max Excee Mens shoes.png ,3,1470,1042,1832,1041
AZL30757,Nike Air Max Plus 3 Mens Shoes,DarkOrchid,7.5,Men Running Black FLEXPACE SHOES:  Built for flexibility  these black FLEXPACE shoes adapt to your every move  offering a smooth and comfortable running experience.,Nike Air Max Plus 3 Mens Shoes.png ,2,1591,984,1017,1785
TER79524,Nike Dunk Low Retro SE Mens Shoes,Peru,4,Men Running Black Ultimashow Shoes:  Don't be afraid to push your limits.  These black Ultimashow shoes boast advanced technology and a supportive fit to help you achieve your running goals.,Nike Dunk Low Retro SE Mens Shoes.jpg ,1,874,868,1403,1411
MOC12174,Nike Air Max 90 Mens Shoes(1),SteelBlue,12,Men Running Blue ADIMOVE SHOES:  These electric blue ADIMOVE shoes are designed to move with you  offering lightweight comfort and flexibility for your daily run.,Nike Air Max 90 Mens Shoes(1).png ,3,1830,841,1719,1814
EUM28265,Nike Air Max 90 Mens Shoes,Crimson,9.5,Men Running Blue AstoundRun M:  Turn heads on your next run with these eye-catching blue AstoundRun shoes.  Featuring responsive cushioning and a stylish design.,Nike Air Max 90 Mens Shoes.png ,4,1420,1019,1185,1658
JLD71026,Nike Air Max 270 Mens Shoes,Indigo,5,Men Running Blue Supernova 3 Running Shoes:  These reliable blue Supernova 3 shoes provide all the support and comfort you need to conquer any distance.,Nike Air Max 270 Mens Shoes.png ,1,819,1763,1077,1654
RMV32591,Nike Air Max SYSTM Mens Shoes,Navy,3.5,Men Running Blue Ultraboost Light Shoes:  Experience ultimate comfort and energy return with these lightweight blue Ultraboost shoes.,Nike Air Max SYSTM Mens Shoes.png ,4,1208,1006,991,1878
XNN01557,Nike Dunk Low Mens Shoes(1),Maroon,8,Men Running Blue Ultrabounce Shoes:  The perfect mix of style and performance.  These blue Ultrabounce shoes offer a supportive fit and a sleek look to take you from run to brunch.,Nike Dunk Low Mens Shoes(1).png ,2,817,1058,1957,1637
QDQ47138,Nike Dunk Low Mens Shoes,Sienna,6.5,Men Running Green MASTER GLIDE SHOES:  Glide effortlessly through your run with these innovative green MASTER GLIDE shoes.  Designed for maximum energy return and efficiency.,Nike Dunk Low Mens Shoes.png ,2,1067,942,1339,889
TWQ54144,Nike Air Force 1 07 Mens Shoes(1),DarkGreen,10.5,Men Running Green Ultraboost Light Shoes:  Another pair of lightweight green Ultraboosts  perfect for eco-conscious runners who don't compromise on performance.,Nike Air Force 1 07 Mens Shoes(1).png ,2,1122,1358,1306,1636
BYO40796,Nike Air Humara Mens Shoes,Olive,2,Men Running Grey MECH DUNE SHOES:  Inspired by rugged terrain  these grey MECH DUNE shoes offer superior traction and support for conquering any trail.,Nike Air Humara Mens Shoes.png ,4,1865,1224,1013,967
DHM68036,Nike Air Max Dn Shoes(3),Coral,4.5,Men Running Grey SolderRun M:  Built to last  these durable grey SolderRun shoes can handle any running surface   keeping your feet comfortable and protected.,Nike Air Max Dn Shoes(3).png ,3,1469,1404,1857,1635
FZE10203,Nike Air Max Dn Shoes(4),Turquoise,11.5,Men Running Turquoise RAYGUN SHOES:  Embrace your inner speed demon with these electrifying turquoise RAYGUN shoes.  Designed for fast-paced training and competition.,Nike Air Max Dn Shoes(4).png ,3,1818,1064,836,1147
BWN85021,Nike Air Max Dn Shoes(5),SlateGray,7,Men Skateboarding White VS Pace 2.0 Shoes:  Shred the park in style with these versatile white VS Pace 2.0 shoes.  Offering great boardfeel and durability for any terrain.,Nike Air Max Dn Shoes(5).png ,3,1252,1489,1591,1651
AHI55583,Nike Air Max Dn Shoes(6),Lavender,3,Men sportswear Grey Ultraboost 1.0 Shoes:  The OG of comfort.  These classic grey Ultraboost 1.0 shoes offer iconic style and unparalleled cushioning.,Nike Air Max Dn Shoes(6).png ,4,1901,1565,1026,1312
AHK33954,Nike Cortez Mens Shoes,Magenta,8.5,Men sportswear White Advantage Base Court Lifestyle Shoes:  Transition seamlessly from court to street with these stylish white Advantage shoes.  Comfortable and versatile for all-day wear.,Nike Cortez Mens Shoes.png ,4,1314,1879,1166,1696
VLE04985,Nike Full Force Low Mens Shoes,LimeGreen,5.5,Men sportswear White Grand Court Cloudfoam Comfort Shoes:  Cloud comfort meets classic design.  These white Grand Court shoes feature a cushioned Cloudfoam sole for ultimate comfort all day long.,Nike Full Force Low Mens Shoes.png ,1,1825,1355,1699,1804
ADI29479,Nike SB Janoski+ Slip Skate Shoes,DarkRed,6,Lifestyle White Web BOOST Shoes:  These sleek kicks feature a futuristic web design woven across the pristine white upper. BOOST technology in the sole provides all-day comfort for conquering your daily hustle.,Nike SB Janoski+ Slip Skate Shoes.png ,2,1627,1990,1003,815
FTT28919,Nike Waffle Nav Mens Shoes,MediumPurple,12,Men Lifestyle Pink Adilette Slides:  Forget boring slides!  These vibrant pink numbers will have your feet feeling (and looking) beach-ready even in the heart of the city.,Nike Waffle Nav Mens Shoes.png ,1,1205,1305,1515,1232
HKI21320,Nike Zoom Vomero 5 Mens Shoes,DarkViolet,9,Men originals Blue Superstar Shoes:  A classic gets a cool upgrade.  These iconic blue Superstars add a pop of color to any outfit  maintaining their timeless appeal.,Nike Zoom Vomero 5 Mens Shoes.png ,4,989,1567,1306,1901
VVM41291,Air Jordan 1 Low SE Mens Shoes(1),DarkSlateBlue,2.5,Men originals Green TMNT Shell-Toe Shoes:  Cowabunga dudes!  Channel your inner teenage mutant ninja turtle with these limited edition green shell-toe shoes.  Totally tubular!,Air Jordan 1 Low SE Mens Shoes(1).png ,3,963,1933,1134,1703
QYE12671,Jordan Stay Loyal 3 Mens shoes,LightSeaGreen,4,Men originals White Forum Low CL Shoes:  Clean and crisp  these white Forum Lows offer a timeless design with premium materials for a touch of luxury.,Jordan Stay Loyal 3 Mens shoes.png ,3,1076,1293,1725,1411
WIW88004,Jumpman MVP Mens Shoes,DarkKhaki,10,Men originals White NMD_R1 Shoes:  The ultimate in street style.  These white NMD_R1s feature a futuristic silhouette and comfortable boost technology for effortless cool.,Jumpman MVP Mens Shoes.png ,3,1459,1670,1571,923
TTO01942,Nike Court Vision Low Mens Shoes,CornflowerBlue,7.5,Men originals White Samba OG Shoes:  A true OG.  These pristine white Samba OGs are a must-have for any sneaker collection  offering classic style and versatility.,Nike Court Vision Low Mens Shoes.png ,4,810,1249,1642,1047
VJC09517,Nike Juniper Trail 2 Mens Trail-Running Shoes,RebeccaPurple,3.5,Men originals White Superstar Shoes:  Another classic!  This fresh pair of white Superstars is perfect for everyday wear  offering comfort and iconic design.,Nike Juniper Trail 2 Mens Trail-Running Shoes.png ,4,1714,1899,830,1026
TJN10815,Nike Revolution 7 Mens Road Running Shoes,Tomato,8,Men Running Black ADI-SHAWT SPORT INSPIRED SHOES:  Channel your inner champion in these black ADI-SHAWT shoes.  Inspired by classic running styles  they offer comfort and support to power through your next workout. ,Nike Revolution 7 Mens Road Running Shoes.png ,1,843,1168,1138,1021
KEJ12138,Nike SB Janoski+ Slip Skate Shoes(1),MediumSlateBlue,6.5,Men Running Black CLEAR FACTOR SHOES:  These sleek black running shoes feature a breathable mesh upper that keeps your feet cool and comfortable on every mile.,Nike SB Janoski+ Slip Skate Shoes(1).png ,1,838,1168,889,1510
QPN34240,Air Jordan 1 Low Womens Shoes,SandyBrown,11,Men Running Black FLEXPACE SHOES:  Built for flexibility  these black FLEXPACE shoes adapt to your every move  offering a smooth and comfortable running experience.,Air Jordan 1 Low Womens Shoes.png ,1,822,1073,1476,979
HWC98240,Nike Air Force 1 07 Mens Shoe,MidnightBlue,5,Men Running Black Ultimashow Shoes:  Don't be afraid to push your limits.  These black Ultimashow shoes boast advanced technology and a supportive fit to help you achieve your running goals.,Nike Air Force 1 07 Mens Shoe.png ,3,1462,816,1116,1086
PZC09934,Nike Air Force 1 07 Mens Shoes(2),DarkTurquoise,2,Men Running Blue ADIMOVE SHOES:  These electric blue ADIMOVE shoes are designed to move with you  offering lightweight comfort and flexibility for your daily run.,Nike Air Force 1 07 Mens Shoes(2).png ,1,1258,1334,1743,1984
EKX76076,Nike Court Vision Low Mens Shoes(1),PaleVioletRed,4.5,Men Running Blue AstoundRun M:  Turn heads on your next run with these eye-catching blue AstoundRun shoes.  Featuring responsive cushioning and a stylish design.,Nike Court Vision Low Mens Shoes(1).png ,3,1528,983,1229,1812
FYF90148,Nike Downshifter 12 Mens Road Running Shoes,LightCoral,11.5,Men Running Blue Supernova 3 Running Shoes:  These reliable blue Supernova 3 shoes provide all the support and comfort you need to conquer any distance.,Nike Downshifter 12 Mens Road Running Shoes.png ,3,1992,1900,1533,1147
TMC17249,Nike Revolution 6 Mens Road Running Shoes,LightCyan,7,Men Running Blue Ultraboost Light Shoes:  Experience ultimate comfort and energy return with these lightweight blue Ultraboost shoes.,Nike Revolution 6 Mens Road Running Shoes.png ,3,1651,1128,1628,1094
YIV08366,Nike Air Max Plus Mens Shoes,Firebrick,6.742740999,Lifestyle White Web BOOST Shoes:  These sleek kicks feature a futuristic web design woven across the pristine white upper. BOOST technology in the sole provides all-day comfort for conquering your daily hustle.,Nike Air Max Plus Mens Shoes.png ,1,1485,1393,1490,836
UWU96719,Nike Court Vision Low Next Nature Mens Shoes,DimGray,6.740188531,Men Lifestyle Pink Adilette Slides:  Forget boring slides!  These vibrant pink numbers will have your feet feeling (and looking) beach-ready even in the heart of the city.,Nike Court Vision Low Next Nature Mens Shoes.png ,3,1858,897,1242,1536
PDG40537,Nike Legend Essential 3 Next Nature Mens Workout Shoes,DarkOrange,6.737636064,Men originals Blue Superstar Shoes:  A classic gets a cool upgrade.  These iconic blue Superstars add a pop of color to any outfit  maintaining their timeless appeal.,Nike Legend Essential 3 Next Nature Mens Workout Shoes.png ,2,1905,1438,1401,1644
BIY99841,Nike Killshot 2 Leather Shoes,MediumSeaGreen,6.735083597,Men originals Green TMNT Shell-Toe Shoes:  Cowabunga dudes!  Channel your inner teenage mutant ninja turtle with these limited edition green shell-toe shoes.  Totally tubular!,Nike Killshot 2 Leather Shoes.png ,1,881,1354,1312,1264
HZN44797,Jordan Roam Slides,RoyalBlue,6.732531129,Men originals White Forum Low CL Shoes:  Clean and crisp  these white Forum Lows offer a timeless design with premium materials for a touch of luxury.,Jordan Roam Slides.png ,3,1954,1559,1778,1283
WPP66880,Nike Air Dunk Low Jumbo Mens Shoes,Fuchsia,6.729978662,Men originals White NMD_R1 Shoes:  The ultimate in street style.  These white NMD_R1s feature a futuristic silhouette and comfortable boost technology for effortless cool.,Nike Air Dunk Low Jumbo Mens Shoes.png ,4,1954,1191,1004,1366
YOD23502,Nike Air Max Alpha Trainer 5 Mens Workout Shoes,Chocolate,6.727426195,Men originals White Samba OG Shoes:  A true OG.  These pristine white Samba OGs are a must-have for any sneaker collection  offering classic style and versatility.,Nike Air Max Alpha Trainer 5 Mens Workout Shoes.png ,4,929,1375,1446,1764
BIO76002,Nike Downshifter 12 Mens Road Running Shoes(1),Teal,6.724873727,Men originals White Superstar Shoes:  Another classic!  This fresh pair of white Superstars is perfect for everyday wear  offering comfort and iconic design.,Nike Downshifter 12 Mens Road Running Shoes(1).png ,3,914,886,1425,1789
BYV92826,Nike Dunk High Retro Mens Shoe,Goldenrod,6.72232126,Men Running Black ADI-SHAWT SPORT INSPIRED SHOES:  Channel your inner champion in these black ADI-SHAWT shoes.  Inspired by classic running styles  they offer comfort and support to power through your next workout. ,Nike Dunk High Retro Mens Shoe.jpg ,4,1885,1202,1137,1419
IHR81934,Nike SB Force 58 Skate Shoes,DodgerBlue,6.719768792,Men Running Black CLEAR FACTOR SHOES:  These sleek black running shoes feature a breathable mesh upper that keeps your feet cool and comfortable on every mile.,Nike SB Force 58 Skate Shoes.png ,4,1397,1819,1393,1918
AZL30758,Air Jordan 1 Low G Golf Shoes,DarkOrchid,6.717216325,Men Running Black FLEXPACE SHOES:  Built for flexibility  these black FLEXPACE shoes adapt to your every move  offering a smooth and comfortable running experience.,Air Jordan 1 Low G Golf Shoes.png ,1,894,1506,832,1995
TER79525,Air Jordan 1 Low Mens Shoes(1),Peru,6.714663858,Men Running Black Ultimashow Shoes:  Don't be afraid to push your limits.  These black Ultimashow shoes boast advanced technology and a supportive fit to help you achieve your running goals.,Air Jordan 1 Low Mens Shoes(1).png ,4,1235,1164,1883,1640
MOC12175,Air Jordan 1 Mid Mens Shoes(1),SteelBlue,6.71211139,Men Running Blue ADIMOVE SHOES:  These electric blue ADIMOVE shoes are designed to move with you  offering lightweight comfort and flexibility for your daily run.,Air Jordan 1 Mid Mens Shoes(1).png ,3,860,1167,1806,1979
EUM28266,Air Jordan 1 Mid Mens Shoes,Crimson,6.709558923,Men Running Blue AstoundRun M:  Turn heads on your next run with these eye-catching blue AstoundRun shoes.  Featuring responsive cushioning and a stylish design.,Air Jordan 1 Mid Mens Shoes.png ,4,1828,1346,1848,1584
YIV08366,Air Jordan 1 Zoom CMFT 2 Mens Shoes,Indigo,6.707006455,Men Running Blue Supernova 3 Running Shoes:  These reliable blue Supernova 3 shoes provide all the support and comfort you need to conquer any distance.,Air Jordan 1 Zoom CMFT 2 Mens Shoes.png ,1,1568,1559,1372,836
UWU96719,Air Jordan Legacy 312 Low Mens Shoes,Navy,6.704453988,Men Running Blue Ultraboost Light Shoes:  Experience ultimate comfort and energy return with these lightweight blue Ultraboost shoes.,Air Jordan Legacy 312 Low Mens Shoes.png ,2,877,1365,1745,1921
PDG40537,Jordan Max Aura 5 Mens Shoes,Maroon,6.701901521,Men Running Blue Ultrabounce Shoes:  The perfect mix of style and performance.  These blue Ultrabounce shoes offer a supportive fit and a sleek look to take you from run to brunch.,Jordan Max Aura 5 Mens Shoes.png ,1,1484,978,1278,1545
BIY99841,Nike Air Force 1 07 Mens Shoes(3),Sienna,6.699349053,Men Running Green MASTER GLIDE SHOES:  Glide effortlessly through your run with these innovative green MASTER GLIDE shoes.  Designed for maximum energy return and efficiency.,Nike Air Force 1 07 Mens Shoes(3).png ,4,1741,1478,1852,1069
HZN44797,Nike Air Max Excee Men's Shoe,DarkGreen,6.696796586,Men Running Green Ultraboost Light Shoes:  Another pair of lightweight green Ultraboosts  perfect for eco-conscious runners who don't compromise on performance.,Nike Air Max Excee Men's Shoe.png ,1,1535,1764,1868,1764
WPP66880,Nike Air Max SC Mens Shoes,Olive,6.694244119,Men Running Grey MECH DUNE SHOES:  Inspired by rugged terrain  these grey MECH DUNE shoes offer superior traction and support for conquering any trail.,Nike Air Max SC Mens Shoes.png ,1,948,1291,967,1594
YOD23502,Nike Offcourt Adjust Mens Slides,Coral,6.691691651,Men Running Grey SolderRun M:  Built to last  these durable grey SolderRun shoes can handle any running surface   keeping your feet comfortable and protected.,Nike Offcourt Adjust Mens Slides.png ,4,1271,1434,1648,1674
BIO76002,Air Jordan 1 Mid Shoes,Turquoise,6.689139184,Men Running Turquoise RAYGUN SHOES:  Embrace your inner speed demon with these electrifying turquoise RAYGUN shoes.  Designed for fast-paced training and competition.,Air Jordan 1 Mid Shoes.png ,1,1108,1515,1871,1580
BYV92826,Air Jordan 6 Retro Yellow Ochre Mens Shoes,SlateGray,6.686586716,Men Skateboarding White VS Pace 2.0 Shoes:  Shred the park in style with these versatile white VS Pace 2.0 shoes.  Offering great boardfeel and durability for any terrain.,Air Jordan 6 Retro Yellow Ochre Mens Shoes.jpg ,3,1403,1937,1540,1569
