sku,name,color,size,description,image_link,category_id,price,mfr_cost,shipping_cost,total_cost
YIV08364,Lifestyle White Web BOOST Shoes(1),Firebrick,7,Lifestyle White Web BOOST Shoes:  These sleek kicks feature a futuristic web design woven across the pristine white upper. BOOST technology in the sole provides all-day comfort for conquering your daily hustle.,Lifestyle White Web BOOST Shoes(1).jpg ,3,887,1969,1974,1582
UWU96717,Men Lifestyle Pink Adilette Slides(4),DimGray,4.5,Men Lifestyle Pink Adilette Slides:  Forget boring slides!  These vibrant pink numbers will have your feet feeling (and looking) beach-ready even in the heart of the city.,Men Lifestyle Pink Adilette Slides(4).jpg ,1,983,1408,1423,1899
PDG40535,Men originals Blue Superstar Shoes(1),DarkOrange,9,Men originals Blue Superstar Shoes:  A classic gets a cool upgrade.  These iconic blue Superstars add a pop of color to any outfit  maintaining their timeless appeal.,Men originals Blue Superstar Shoes(1).jpg ,1,1250,984,991,1520
BIY99839,Men originals Green TMNT Shell-Toe Shoes(1),MediumSeaGreen,3,Men originals Green TMNT Shell-Toe Shoes:  Cowabunga dudes!  Channel your inner teenage mutant ninja turtle with these limited edition green shell-toe shoes.  Totally tubular!,Men originals Green TMNT Shell-Toe Shoes(1).jpg ,2,895,1365,900,1175
HZN44795,Men originals White Forum Low CL Shoes,RoyalBlue,10,Men originals White Forum Low CL Shoes:  Clean and crisp  these white Forum Lows offer a timeless design with premium materials for a touch of luxury.,Men originals White Forum Low CL Shoes.jpg ,2,979,1453,1092,1856
WPP66878,Men originals White NMD_R1 Shoes(1),Fuchsia,5.5,Men originals White NMD_R1 Shoes:  The ultimate in street style.  These white NMD_R1s feature a futuristic silhouette and comfortable boost technology for effortless cool.,Men originals White NMD_R1 Shoes(1).jpg ,2,1807,938,1886,1316
YOD23500,Men originals White Samba OG Shoes(1),Chocolate,8.5,Men originals White Samba OG Shoes:  A true OG.  These pristine white Samba OGs are a must-have for any sneaker collection  offering classic style and versatility.,Men originals White Samba OG Shoes(1).jpg ,4,1959,1612,1034,1599
BIO76000,Men originals White Superstar Shoes(1),Teal,11,Men originals White Superstar Shoes:  Another classic!  This fresh pair of white Superstars is perfect for everyday wear  offering comfort and iconic design.,Men originals White Superstar Shoes(1).jpg ,1,1919,1125,1523,843
BYV92824,Men Running Black ADI-SHAWT SPORT INSPIRED SHOES(1),Goldenrod,6,Men Running Black ADI-SHAWT SPORT INSPIRED SHOES:  Channel your inner champion in these black ADI-SHAWT shoes.  Inspired by classic running styles  they offer comfort and support to power through your next workout. ,Men Running Black ADI-SHAWT SPORT INSPIRED SHOES(1).jpg ,4,1423,995,1920,943
IHR81932,Men Running Black CLEAR FACTOR SHOES(1),DodgerBlue,2.5,Men Running Black CLEAR FACTOR SHOES:  These sleek black running shoes feature a breathable mesh upper that keeps your feet cool and comfortable on every mile.,Men Running Black CLEAR FACTOR SHOES(1).jpg ,3,1470,1042,1832,1041
AZL30756,Men Running Black FLEXPACE SHOES(1),DarkOrchid,7.5,Men Running Black FLEXPACE SHOES:  Built for flexibility  these black FLEXPACE shoes adapt to your every move  offering a smooth and comfortable running experience.,Men Running Black FLEXPACE SHOES(1).jpg ,2,1591,984,1017,1785
TER79523,Men Running Black Ultimashow Shoes,Peru,4,Men Running Black Ultimashow Shoes:  Don't be afraid to push your limits.  These black Ultimashow shoes boast advanced technology and a supportive fit to help you achieve your running goals.,Men Running Black Ultimashow Shoes.jpg ,1,874,868,1403,1411
MOC12173,Men Running Blue ADIMOVE SHOES(1),SteelBlue,12,Men Running Blue ADIMOVE SHOES:  These electric blue ADIMOVE shoes are designed to move with you  offering lightweight comfort and flexibility for your daily run.,Men Running Blue ADIMOVE SHOES(1).jpg ,3,1830,841,1719,1814
EUM28264,Men Running Blue AstoundRun M(1),Crimson,9.5,Men Running Blue AstoundRun M:  Turn heads on your next run with these eye-catching blue AstoundRun shoes.  Featuring responsive cushioning and a stylish design.,Men Running Blue AstoundRun M(1).jpg ,4,1420,1019,1185,1658
JLD71025,Men Running Blue Supernova 3 Running Shoes(1),Indigo,5,Men Running Blue Supernova 3 Running Shoes:  These reliable blue Supernova 3 shoes provide all the support and comfort you need to conquer any distance.,Men Running Blue Supernova 3 Running Shoes(1).jpg ,1,819,1763,1077,1654
RMV32590,Men Running Blue Ultraboost Light Shoes(1),Navy,3.5,Men Running Blue Ultraboost Light Shoes:  Experience ultimate comfort and energy return with these lightweight blue Ultraboost shoes.,Men Running Blue Ultraboost Light Shoes(1).jpg ,4,1208,1006,991,1878
XNN01556,Men Running Blue Ultrabounce Shoes(1),Maroon,8,Men Running Blue Ultrabounce Shoes:  The perfect mix of style and performance.  These blue Ultrabounce shoes offer a supportive fit and a sleek look to take you from run to brunch.,Men Running Blue Ultrabounce Shoes(1).jpg ,2,817,1058,1957,1637
QDQ47137,Men Running Green MASTER GLIDE SHOES(1),Sienna,6.5,Men Running Green MASTER GLIDE SHOES:  Glide effortlessly through your run with these innovative green MASTER GLIDE shoes.  Designed for maximum energy return and efficiency.,Men Running Green MASTER GLIDE SHOES(1).jpg ,2,1067,942,1339,889
TWQ54143,Men Running Green Ultraboost Light Shoes(1),DarkGreen,10.5,Men Running Green Ultraboost Light Shoes:  Another pair of lightweight green Ultraboosts  perfect for eco-conscious runners who don't compromise on performance.,Men Running Green Ultraboost Light Shoes(1).jpg ,2,1122,1358,1306,1636
